Name;Price;Spread;RollLong;RollShort;PIP;PIPCost;MarginCost;Market;Multiplier;Commission;Symbol
ABEV3.SA;14,49;0,41;0;0;0,01;1;-100;0;100;0,04;ABEV3
ALPA4.SA;10,5;0,26;0;0;0,01;1;-100;0;100;0,04;ALPA4
ALSO3.SA;21,74;0,06;0;0;0,01;1;-100;0;100;0,04;ALSO3
ARZZ3.SA;73,8;0,27;0;0;0,01;1;-100;0;100;0,04;ARZZ3
ASAI3.SA;11,29;0,2;0;0;0,01;1;-100;0;100;0,04;ASAI3
AZUL4.SA;15,99;0,15;0;0;0,01;1;-100;0;100;0,04;AZUL4
B3SA3.SA;13,3;0,91;0;0;0,01;1;-100;0;100;0,04;B3SA3
BBAS3.SA;44,7;0,3;0;0;0,01;1;-100;0;100;0,04;BBAS3
BBDC3.SA;13,41;0,01;0;0;0,01;1;-100;0;100;0,04;BBDC3
BBDC4.SA;15,71;0,42;0;0;0,01;1;-100;0;100;0,04;BBDC4
BBSE3.SA;31,71;0,23;0;0;0,01;1;-100;0;100;0,04;BBSE3
BEEF3.SA;9,83;0,3;0;0;0,01;1;-100;0;100;0,04;BEEF3
BPAC11.SA;26,54;0,34;0;0;0,01;1;-100;0;100;0,04;BPAC11
BRAP4.SA;21,42;0,15;0;0;0,01;1;-100;0;100;0,04;BRAP4
BRFS3.SA;7,25;0,2;0;0;0,01;1;-100;0;100;0,04;BRFS3
BRKM5.SA;22,77;0,64;0;0;0,01;1;-100;0;100;0,04;BRKM5
CASH3.SA;0,91;0,55;0;0;0,01;1;-100;0;100;0,04;CASH3
CCRO3.SA;13,8;0,13;0;0;0,01;1;-100;0;100;0,04;CCRO3
CIEL3.SA;4,78;1,28;0;0;0,01;1;-100;0;100;0,04;CIEL3
CMIG4.SA;11,89;0,2;0;0;0,01;1;-100;0;100;0,04;CMIG4
CMIN3.SA;4,46;0,4;0;0;0,01;1;-100;0;100;0,04;CMIN3
COGN3.SA;2,86;0,01;0;0;0,01;1;-100;0;100;0,04;COGN3
CPFE3.SA;31,05;0,05;0;0;0,01;1;-100;0;100;0,04;CPFE3
CPLE6.SA;7,55;0,26;0;0;0,01;1;-100;0;100;0,04;CPLE6
CRFB3.SA;9,56;0,14;0;0;0,01;1;-100;0;100;0,04;CRFB3
CSAN3.SA;15,13;0,19;0;0;0,01;1;-100;0;100;0,04;CSAN3
CSNA3.SA;12,05;0,4;0;0;0,01;1;-100;0;100;0,04;CSNA3
CVCB3.SA;2,99;4,39;0;0;0,01;1;-100;0;100;0,04;CVCB3
CYRE3.SA;18,46;0,42;0;0;0,01;1;-100;0;100;0,04;CYRE3
DXCO3.SA;8,71;0,03;0;0;0,01;1;-100;0;100;0,04;DXCO3
EGIE3.SA;42,7;0,4;0;0;0,01;1;-100;0;100;0,04;EGIE3
ELET3.SA;34,76;0,04;0;0;0,01;1;-100;0;100;0,04;ELET3
ELET6.SA;38,82;0,55;0;0;0,01;1;-100;0;100;0,04;ELET6
EMBR3.SA;18,83;0,3;0;0;0,01;1;-100;0;100;0,04;EMBR3
ENBR3.SA;23,01;0,12;0;0;0,01;1;-100;0;100;0,04;ENBR3
ENEV3.SA;11,55;0,7;0;0;0,01;1;-100;0;100;0,04;ENEV3
ENGI11.SA;44,24;0,15;0;0;0,01;1;-100;0;100;0,04;ENGI11
EQTL3.SA;28,13;1,16;0;0;0,01;1;-100;0;100;0,04;EQTL3
EZTC3.SA;17,3;0,25;0;0;0,01;1;-100;0;100;0,04;EZTC3
FLRY3.SA;15,87;0,81;0;0;0,01;1;-100;0;100;0,04;FLRY3
GGBR4.SA;24,35;0,4;0;0;0,01;1;-100;0;100;0,04;GGBR4
GOAU4.SA;11,33;1,15;0;0;0,01;1;-100;0;100;0,04;GOAU4
GOLL4.SA;8,01;0,25;0;0;0,01;1;-100;0;100;0,04;GOLL4
HAPV3.SA;4,05;0,54;0;0;0,01;1;-100;0;100;0,04;HAPV3
HYPE3.SA;40,89;0,01;0;0;0,01;1;-100;0;100;0,04;HYPE3
IGTI11.SA;21,91;0,4;0;0;0,01;1;-100;0;100;0,04;IGTI11
IRBR3.SA;38,83;1,28;0;0;0,01;1;-100;0;100;0,04;IRBR3
ITSA4.SA;8,89;0,01;0;0;0,01;1;-100;0;100;0,04;ITSA4
ITUB4.SA;26,51;0,26;0;0;0,01;1;-100;0;100;0,04;ITUB4
JBSS3.SA;16,41;0,19;0;0;0,01;1;-100;0;100;0,04;JBSS3
KLBN11.SA;21,33;0,05;0;0;0,01;1;-100;0;100;0,04;KLBN11
LREN3.SA;19,38;0,42;0;0;0,01;1;-100;0;100;0,04;LREN3
LWSA3.SA;7,86;4,39;0;0;0,01;1;-100;0;100;0,04;LWSA3
MGLU3.SA;3,72;0,03;0;0;0,01;1;-100;0;100;0,04;MGLU3
MRFG3.SA;6,26;0,04;0;0;0,01;1;-100;0;100;0,04;MRFG3
MRVE3.SA;9,83;0,12;0;0;0,01;1;-100;0;100;0,04;MRVE3
MULT3.SA;26,79;0,15;0;0;0,01;1;-100;0;100;0,04;MULT3
NTCO3.SA;13,77;0,04;0;0;0,01;1;-100;0;100;0,04;NTCO3
PCAR3.SA;16,07;0,7;0;0;0,01;1;-100;0;100;0,04;PCAR3
PETR3.SA;29,54;0,4;0;0;0,01;1;-100;0;100;0,04;PETR3
PETR4.SA;26,39;1,16;0;0;0,01;1;-100;0;100;0,04;PETR4
PETZ3.SA;7,2;0,81;0;0;0,01;1;-100;0;100;0,04;PETZ3
PRIO3.SA;34,07;0,25;0;0;0,01;1;-100;0;100;0,04;PRIO3
RADL3.SA;28,39;0,4;0;0;0,01;1;-100;0;100;0,04;RADL3
RAIL3.SA;20,79;0,04;0;0;0,01;1;-100;0;100;0,04;RAIL3
RAIZ4.SA;3,6;1,15;0;0;0,01;1;-100;0;100;0,04;RAIZ4
RDOR3.SA;28,78;0,25;0;0;0,01;1;-100;0;100;0,04;RDOR3
RENT3.SA;63,38;0,4;0;0;0,01;1;-100;0;100;0,04;RENT3
RRRP3.SA;29,78;0,15;0;0;0,01;1;-100;0;100;0,04;RRRP3
SANB11.SA;28,88;0,54;0;0;0,01;1;-100;0;100;0,04;SANB11
SBSP3.SA;52,43;0,18;0;0;0,01;1;-100;0;100;0,04;SBSP3
SLCE3.SA;34,57;0,7;0;0;0,01;1;-100;0;100;0,04;SLCE3
SMTO3.SA;35,66;0,01;0;0;0,01;1;-100;0;100;0,04;SMTO3
SOMA3.SA;10,3;0,18;0;0;0,01;1;-100;0;100;0,04;SOMA3
SUZB3.SA;45,08;0,4;0;0;0,01;1;-100;0;100;0,04;SUZB3
TAEE11.SA;37,68;1,16;0;0;0,01;1;-100;0;100;0,04;TAEE11
TIMS3.SA;14,45;0,81;0;0;0,01;1;-100;0;100;0,04;TIMS3
TOTS3.SA;29,09;0,4;0;0;0,01;1;-100;0;100;0,04;TOTS3
UGPA3.SA;17,02;1,15;0;0;0,01;1;-100;0;100;0,04;UGPA3
USIM5.SA;7,05;0,25;0;0;0,01;1;-100;0;100;0,04;USIM5
VALE3.SA;64,2;0,04;0;0;0,01;1;-100;0;100;0,04;VALE3
VBBR3.SA;16,02;0,54;0;0;0,01;1;-100;0;100;0,04;VBBR3
VIIA3.SA;2,31;0,18;0;0;0,01;1;-100;0;100;0,04;VIIA3
VIVT3.SA;41,2;0,25;0;0;0,01;1;-100;0;100;0,04;VIVT3
WEGE3.SA;38,31;0,01;0;0;0,01;1;-100;0;100;0,04;WEGE3
YDUQ3.SA;14,16;0,4;0;0;0,01;1;-100;0;100;0,04;YDUQ3
